"Contest ID","Contest Name","Location ID","Total Precincts","Precincts Reporting","Precincts Partially Reporting","Total Votes","Candidate ID","Candidate Name","Candidate Votes","Candidate Vote Percentage"
"1123","U.S. Senate","0001","1","1","0","4276","2175","Natalie James","2281","53.34"
"1123","U.S. Senate","0001","1","1","0","4276","2176","Senator John Boozman","1929","45.11"
"1123","U.S. Senate","0001","1","1","0","4276","2174","Kenneth Cates","66","1.54"
"1353","U.S. Congress District 01","0001","1","1","0","4153","2603","Representative Monte Hodges","2224","53.55"
"1353","U.S. Congress District 01","0001","1","1","0","4153","2602","Congressman Rick Crawford","1929","46.45"
"286","Governor","0001","1","1","0","4366","528","Chris Jones","2415","55.31"
"286","Governor","0001","1","1","0","4366","530","Sarah Huckabee Sanders","1892","43.33"
"286","Governor","0001","1","1","0","4366","529","Ricky Dale Harrington, Jr.","59","1.35"
"240","Lieutenant Governor","0001","1","1","0","4212","430","Kelly Ross Krout","2207","52.40"
"240","Lieutenant Governor","0001","1","1","0","4212","428","Attorney General Leslie Rutledge","1892","44.92"
"240","Lieutenant Governor","0001","1","1","0","4212","429","Frank Gilbert","113","2.68"
"592","Attorney General","0001","1","1","0","4219","1136","Jesse Gibson","2271","53.83"
"592","Attorney General","0001","1","1","0","4219","1137","Lieutenant Governor Tim Griffin","1948","46.17"
"1267","Secretary of State","0001","1","1","0","4218","2432","Anna Beth Gorman","2279","54.03"
"1267","Secretary of State","0001","1","1","0","4218","2433","Secretary of State John Thurston","1939","45.97"
"245","Auditor of State","0001","1","1","0","4131","439","Diamond Arnold-Johnson","2194","53.11"
"245","Auditor of State","0001","1","1","0","4131","441","Treasurer of State Dennis Milligan","1849","44.76"
"245","Auditor of State","0001","1","1","0","4131","440","Simeon Snow","88","2.13"
"553","Commissioner of State Lands","0001","1","1","0","4113","1068","Darlene Goldi Gaines","2199","53.46"
"553","Commissioner of State Lands","0001","1","1","0","4113","1069","Tommy Land Commissioner of State Lands","1914","46.54"
"47","State Treasurer","0001","1","1","0","4172","88","Pam Whitaker","2251","53.95"
"47","State Treasurer","0001","1","1","0","4172","89","State Representative Mark Lowery","1921","46.05"
"558","State Senate District 09","0001","1","1","0","4263","1076","State Representative Reginald Murdock","2322","54.47"
"558","State Senate District 09","0001","1","1","0","4263","1077","Terry Fuller","1941","45.53"
"64","State Representative District 62","0001","1","1","0","4322","121","Dexter R. Miller","2370","54.84"
"64","State Representative District 62","0001","1","1","0","4322","122","Representative Mark D. McElroy","1952","45.16"
"1351","State Supreme Court Associate Justice Position 2","0001","1","1","0","3743","2599","Supreme Court Associate Justice Robin Wynne","2050","54.77"
"1351","State Supreme Court Associate Justice Position 2","0001","1","1","0","3743","2598","Judge Chris Carnahan","1693","45.23"
"1328","Issue No. 1: A Constitutional Amendment to allow the General Assembly to Convene in Extraordinary Session Upon the Issuance of a Joint Written Proclamation of the Speaker of the House of Representatives and the President Pro Tempore of the Senate or Upon the Submission of a Written Proclamation Containing the Signatures of At Least Two-Thirds (2/3) of the Members of the House of Representatives and At Least Two-Thirds (2/3) of the Members of the Senate to the Speaker of the House of Representatives and the President Pro Tempore of the Senate Requesting that the General Assembly Convene in Extraordinary Session","0001","1","1","0","2956","2545","AGAINST","1761","59.57"
"1328","Issue No. 1: A Constitutional Amendment to allow the General Assembly to Convene in Extraordinary Session Upon the Issuance of a Joint Written Proclamation of the Speaker of the House of Representatives and the President Pro Tempore of the Senate or Upon the Submission of a Written Proclamation Containing the Signatures of At Least Two-Thirds (2/3) of the Members of the House of Representatives and At Least Two-Thirds (2/3) of the Members of the Senate to the Speaker of the House of Representatives and the President Pro Tempore of the Senate Requesting that the General Assembly Convene in Extraordinary Session","0001","1","1","0","2956","2546","FOR","1195","40.43"
"1288","Issue No. 2: A Constitutional Amendment to Reform Certain Measures Presented to Voters, to be Known as the 'Constitutional Amendment and Ballot Initiative Reform Amendment'","0001","1","1","0","3013","2467","AGAINST","1665","55.26"
"1288","Issue No. 2: A Constitutional Amendment to Reform Certain Measures Presented to Voters, to be Known as the 'Constitutional Amendment and Ballot Initiative Reform Amendment'","0001","1","1","0","3013","2468","FOR","1348","44.74"
"266","Issue No. 3: A Constitutional Amendment to Create the 'Arkansas Religious Freedom Amendment'","0001","1","1","0","3055","477","FOR","1660","54.34"
"266","Issue No. 3: A Constitutional Amendment to Create the 'Arkansas Religious Freedom Amendment'","0001","1","1","0","3055","476","AGAINST","1395","45.66"
"841","Issue No. 4: An Amendment to Authorize the Possession, Personal Use, and Consumption of Cannabis by Adults, to Authorize the Cultivation and Sale of Cannabis by Licensed Commercial Facilities, and to Provide for the Regulation of those Facilities","0001","1","1","0","3118","1618","AGAINST","1579","50.64"
"841","Issue No. 4: An Amendment to Authorize the Possession, Personal Use, and Consumption of Cannabis by Adults, to Authorize the Cultivation and Sale of Cannabis by Licensed Commercial Facilities, and to Provide for the Regulation of those Facilities","0001","1","1","0","3118","1619","FOR","1539","49.36"
