"Contest ID","Contest Name","Location ID","Total Precincts","Precincts Reporting","Precincts Partially Reporting","Total Votes","Candidate ID","Candidate Name","Candidate Votes","Candidate Vote Percentage"
"366","U.S. President","1","132","132","0","153924","791","Kamala D. Harris/Tim Walz","92038","60.00"
"366","U.S. President","1","132","132","0","153924","789","Donald J. Trump/JD Vance","57977","38.00"
"366","U.S. President","1","132","132","0","153924","794","Robert F. Kennedy, Jr./Nicole Shanahan","1761","1.00"
"366","U.S. President","1","132","132","0","153924","790","Jill Stein/Rudolph Ware","867","1.00"
"366","U.S. President","1","132","132","0","153924","788","Chase Oliver/Mike ter Maat","831","1.00"
"366","U.S. President","1","132","132","0","153924","793","Peter Sonski/Lauren Onak","329","0.00"
"366","U.S. President","1","132","132","0","153924","792","Michael Wood/John G. Pietrowski","121","0.00"
"366","U.S. President","2","21","21","0","7621","789","Donald J. Trump/JD Vance","6023","79.00"
"366","U.S. President","2","21","21","0","7621","791","Kamala D. Harris/Tim Walz","1437","19.00"
"366","U.S. President","2","21","21","0","7621","794","Robert F. Kennedy, Jr./Nicole Shanahan","87","1.00"
"366","U.S. President","2","21","21","0","7621","788","Chase Oliver/Mike ter Maat","33","0.00"
"366","U.S. President","2","21","21","0","7621","790","Jill Stein/Rudolph Ware","19","0.00"
"366","U.S. President","2","21","21","0","7621","793","Peter Sonski/Lauren Onak","15","0.00"
"366","U.S. President","2","21","21","0","7621","792","Michael Wood/John G. Pietrowski","7","0.00"
"366","U.S. President","3","18","18","0","8626","789","Donald J. Trump/JD Vance","5056","59.00"
"366","U.S. President","3","18","18","0","8626","791","Kamala D. Harris/Tim Walz","3412","40.00"
"366","U.S. President","3","18","18","0","8626","794","Robert F. Kennedy, Jr./Nicole Shanahan","79","1.00"
"366","U.S. President","3","18","18","0","8626","788","Chase Oliver/Mike ter Maat","30","0.00"
"366","U.S. President","3","18","18","0","8626","790","Jill Stein/Rudolph Ware","26","0.00"
"366","U.S. President","3","18","18","0","8626","792","Michael Wood/John G. Pietrowski","16","0.00"
"366","U.S. President","3","18","18","0","8626","793","Peter Sonski/Lauren Onak","7","0.00"
"366","U.S. President","4","55","55","0","30620","789","Donald J. Trump/JD Vance","23225","76.00"
"366","U.S. President","4","55","55","0","30620","791","Kamala D. Harris/Tim Walz","6790","22.00"
"366","U.S. President","4","55","55","0","30620","794","Robert F. Kennedy, Jr./Nicole Shanahan","316","1.00"
"366","U.S. President","4","55","55","0","30620","788","Chase Oliver/Mike ter Maat","144","0.00"
"366","U.S. President","4","55","55","0","30620","790","Jill Stein/Rudolph Ware","86","0.00"
"366","U.S. President","4","55","55","0","30620","793","Peter Sonski/Lauren Onak","38","0.00"
"366","U.S. President","4","55","55","0","30620","792","Michael Wood/John G. Pietrowski","21","0.00"
"366","U.S. President","5","28","28","0","5692","789","Donald J. Trump/JD Vance","4608","81.00"
"366","U.S. President","5","28","28","0","5692","791","Kamala D. Harris/Tim Walz","965","17.00"
"366","U.S. President","5","28","28","0","5692","794","Robert F. Kennedy, Jr./Nicole Shanahan","64","1.00"
"366","U.S. President","5","28","28","0","5692","788","Chase Oliver/Mike ter Maat","23","0.00"
"366","U.S. President","5","28","28","0","5692","793","Peter Sonski/Lauren Onak","15","0.00"
"366","U.S. President","5","28","28","0","5692","790","Jill Stein/Rudolph Ware","11","0.00"
"366","U.S. President","5","28","28","0","5692","792","Michael Wood/John G. Pietrowski","6","0.00"
"366","U.S. President","6","20","20","0","2907","789","Donald J. Trump/JD Vance","2002","69.00"
"366","U.S. President","6","20","20","0","2907","791","Kamala D. Harris/Tim Walz","849","29.00"
"366","U.S. President","6","20","20","0","2907","794","Robert F. Kennedy, Jr./Nicole Shanahan","32","1.00"
"366","U.S. President","6","20","20","0","2907","792","Michael Wood/John G. Pietrowski","9","0.00"
"366","U.S. President","6","20","20","0","2907","790","Jill Stein/Rudolph Ware","7","0.00"
"366","U.S. President","6","20","20","0","2907","788","Chase Oliver/Mike ter Maat","5","0.00"
"366","U.S. President","6","20","20","0","2907","793","Peter Sonski/Lauren Onak","3","0.00"
"366","U.S. President","7","20","20","0","7657","789","Donald J. Trump/JD Vance","4526","59.00"
"366","U.S. President","7","20","20","0","7657","791","Kamala D. Harris/Tim Walz","2959","39.00"
"366","U.S. President","7","20","20","0","7657","794","Robert F. Kennedy, Jr./Nicole Shanahan","91","1.00"
"366","U.S. President","7","20","20","0","7657","788","Chase Oliver/Mike ter Maat","36","0.00"
"366","U.S. President","7","20","20","0","7657","790","Jill Stein/Rudolph Ware","23","0.00"
"366","U.S. President","7","20","20","0","7657","793","Peter Sonski/Lauren Onak","14","0.00"
"366","U.S. President","7","20","20","0","7657","792","Michael Wood/John G. Pietrowski","8","0.00"
"366","U.S. President","8","9","9","0","2324","789","Donald J. Trump/JD Vance","1482","64.00"
"366","U.S. President","8","9","9","0","2324","791","Kamala D. Harris/Tim Walz","798","34.00"
"366","U.S. President","8","9","9","0","2324","794","Robert F. Kennedy, Jr./Nicole Shanahan","26","1.00"
"366","U.S. President","8","9","9","0","2324","788","Chase Oliver/Mike ter Maat","9","0.00"
"366","U.S. President","8","9","9","0","2324","790","Jill Stein/Rudolph Ware","5","0.00"
"366","U.S. President","8","9","9","0","2324","792","Michael Wood/John G. Pietrowski","3","0.00"
"366","U.S. President","8","9","9","0","2324","793","Peter Sonski/Lauren Onak","1","0.00"
"366","U.S. President","9","433","433","0","128595","789","Donald J. Trump/JD Vance","79907","62.00"
"366","U.S. President","9","433","433","0","128595","791","Kamala D. Harris/Tim Walz","45231","35.00"
"366","U.S. President","9","433","433","0","128595","794","Robert F. Kennedy, Jr./Nicole Shanahan","1666","1.00"
"366","U.S. President","9","433","433","0","128595","788","Chase Oliver/Mike ter Maat","816","1.00"
"366","U.S. President","9","433","433","0","128595","790","Jill Stein/Rudolph Ware","568","0.00"
"366","U.S. President","9","433","433","0","128595","793","Peter Sonski/Lauren Onak","322","0.00"
"366","U.S. President","9","433","433","0","128595","792","Michael Wood/John G. Pietrowski","85","0.00"
"366","U.S. President","10","17","17","0","14681","791","Kamala D. Harris/Tim Walz","7362","50.00"
"366","U.S. President","10","17","17","0","14681","789","Donald J. Trump/JD Vance","7028","48.00"
"366","U.S. President","10","17","17","0","14681","794","Robert F. Kennedy, Jr./Nicole Shanahan","164","1.00"
"366","U.S. President","10","17","17","0","14681","788","Chase Oliver/Mike ter Maat","56","0.00"
"366","U.S. President","10","17","17","0","14681","790","Jill Stein/Rudolph Ware","40","0.00"
