Attorney General	Candidates					
Summary of General Election Results November 7, 2006	Gunner DeLay Republican	Dustin McDaniel Democrat	Rebekah Kennedy Green Party	Grand Totals	Registered Voters	Voter Turnout
Arkansas County	1,464	3,967	164	5,595	11,733	47.69%
Ashley County	1,547	3,755	168	5,470	12,666	43.19%
Baxter County	6,230	6,155	805	13,190	27,610	47.77%
Benton County	26,996	18,469	2,352	47,817	95,215	50.22%
Boone County	5,159	4,498	585	10,242	22,068	46.41%
Bradley County	693	1,967	79	2,739	6,169	44.40%
Calhoun County	492	1,155	79	1,726	3,756	45.95%
Carroll County	3,636	3,800	618	8,054	14,176	56.81%
Chicot County	686	2,655	91	3,432	7,772	44.16%
Clark County	1,657	4,478	232	6,367	12,371	51.47%
Clay County	896	3,254	133	4,283	10,604	40.39%
Cleburne County	3,931	5,143	457	9,531	17,155	55.56%
Cleveland County	811	1,581	89	2,481	5,323	46.61%
Columbia County	2,434	2,973	190	5,597	16,752	33.41%
Conway County	1,899	4,306	291	6,496	13,375	48.57%
Craighead County	5,639	14,547	525	20,711	50,621	40.91%
Crawford County	8,017	7,002	781	15,800	27,384	57.70%
Crittenden County	4,732	10,413	627	15,772	29,350	53.74%
Cross County	1,576	3,442	221	5,239	11,309	46.33%
Dallas County	747	1,954	71	2,772	5,352	51.79%
Desha County	525	2,606	87	3,218	9,563	33.65%
Drew County	1,136	2,854	118	4,108	10,280	39.96%
Faulkner County	10,143	13,169	1,118	24,430	58,925	41.46%
Franklin County	2,346	2,902	229	5,477	10,259	53.39%
Fulton County	984	2,161	141	3,286	7,149	45.96%
Garland County	11,696	16,045	1,269	29,010	68,802	42.16%
Grant County	1,861	3,054	211	5,126	9,898	51.79%
Greene County	2,263	6,620	296	9,179	20,480	44.82%
Hempstead County	1,372	3,285	188	4,845	10,204	47.48%
Hot Spring County	2,580	5,556	372	8,508	18,415	46.20%
Howard County	895	2,195	117	3,207	7,223	44.40%
Independence County	3,112	6,312	386	9,810	20,518	47.81%
Izard County	1,249	2,563	256	4,068	7,296	55.76%
Jackson County	790	3,546	158	4,494	9,561	47.00%
Jefferson County	4,034	15,205	625	19,864	48,529	40.93%
Johnson County	2,287	3,518	268	6,073	13,339	45.53%
Lafayette County	735	1,642	90	2,467	4,229	58.34%
Lawrence County	924	3,694	199	4,817	10,070	47.84%
Lee County	562	1,951	345	2,858	6,114	46.75%
Lincoln County	653	2,010	94	2,757	6,570	41.96%
Little River County	945	2,596	173	3,714	7,848	47.32%
Logan County	2,646	3,451	349	6,446	13,050	49.39%
Lonoke County	7,242	7,909	701	15,852	31,591	50.18%
Madison County	2,296	2,792	251	5,339	8,368	63.80%
Marion County	2,662	2,745	424	5,831	10,377	56.19%
Miller County	3,875	5,404	329	9,608	23,129	41.54%
Mississippi County	2,294	7,170	487	9,951	23,020	43.23%
Monroe County	583	2,078	72	2,733	5,677	48.14%
Montgomery County	1,074	1,599	153	2,826	5,126	55.13%
Nevada County	660	1,803	124	2,587	5,802	44.59%
Newton County	1,545	1,515	285	3,345	5,638	59.33%
Ouachita County	1,971	5,087	257	7,315	19,935	36.69%
Perry County	1,190	2,115	221	3,526	6,405	55.05%
Phillips County	1,205	5,246	313	6,764	18,803	35.97%
Pike County	984	2,024	116	3,124	5,649	55.30%
Poinsett County	1,348	4,664	203	6,215	13,231	46.97%
Polk County	2,549	2,688	289	5,526	11,548	47.85%
Pope County	6,632	8,272	420	15,324	30,326	50.53%
Prairie County	735	1,968	99	2,802	4,771	58.73%
Pulaski County	34,189	68,867	4,831	107,887	237,039	45.51%
Randolph County	1,142	3,246	163	4,551	10,260	44.36%
Saline County	14,245	15,943	1,371	31,559	57,430	54.95%
Scott County	1,161	1,495	110	2,766	6,056	45.67%
Searcy County	1,377	1,398	194	2,969	6,403	46.37%
Sebastian County	15,358	14,875	1,309	31,542	61,685	51.13%
Sevier County	915	1,968	95	2,978	6,498	45.83%
Sharp County	1,758	3,479	252	5,489	10,436	52.60%
St. Francis County	1,577	4,896	323	6,796	18,959	35.85%
Stone County	1,523	2,541	275	4,339	7,741	56.05%
Union County	4,814	6,055	304	11,173	29,624	37.72%
Van Buren County	1,935	3,048	332	5,315	9,981	53.25%
Washington County	19,606	22,644	2,299	44,549	87,215	51.08%
White County	8,404	10,661	869	19,934	43,136	46.21%
Woodruff County	342	2,009	92	2,443	4,746	51.47%
Yell County	1,427	2,823	176	4,426	9,583	46.19%
Totals	281,598	443,476	33,386	758,460	1,615,271	46.96%
Statewide Percentage of Votes Received	37.13%	58.47%	4.40%			
