Location ID,County Name,FIPS Code
1,Pulaski,05119
2,Ashley,05003
3,Baxter,05005
4,Benton,05007
5,Boone,05009
6,Bradley,05011
7,Calhoun,05013
8,Carroll,05015
9,Washington,05143
10,Jefferson,05069
11,Clay,05021
12,Cleburne,05023
13,Crittenden,05035
14,Chicot,05017
15,Conway,05029
16,Craighead,05031
17,Crawford,05033
18,Cross,05037
19,Cleveland,05025
20,Clark,05019
21,Desha,05041
22,Drew,05043
23,Faulkner,05045
24,Franklin,05047
25,Fulton,05049
26,Garland,05051
27,Grant,05053
28,Greene,05055
29,Hempstead,05057
30,Hot Spring,05059
31,Howard,05061
32,Independence,05063
33,Izard,05065
34,Jackson,05067
35,Johnson,05071
36,Lafayette,05073
37,Lawrence,05075
38,Lee,05077
39,Lincoln,05079
40,Little River,05081
41,Logan,05083
42,Lonoke,05085
43,Madison,05087
44,Marion,05089
45,Miller,05091
46,Mississippi,05093
47,Monroe,05095
48,Montgomery,05097
49,Nevada,05099
50,Newton,05101
51,Ouachita,05103
52,Perry,05105
53,Phillips,05107
54,Pike,05109
55,Poinsett,05111
56,Polk,05113
57,Pope,05115
58,Prairie,05117
59,Arkansas,05001
60,Columbia,05027
61,Randolph,05121
62,Saline,05125
63,Scott,05127
64,Searcy,05129
65,Sebastian,05131
66,Sevier,05133
67,Sharp,05135
68,Stone,05137
69,St. Francis,05123
70,Union,05139
71,Van Buren,05141
72,Yell,05149
73,White,05145
74,Woodruff,05147
75,Dallas,05039
