county,office,candidate,party,votes
Fulton,Land Commissioner,Mark Wilcox,Democratic,2556
Fulton,Land Commissioner,Robert David Lewis,Green,482
Fulton,Lieutenant Governor,Bill Halter,Democratic,1998
Fulton,Lieutenant Governor,Jim Holt,Republican,1306
Fulton,Secretary of State,Charlie Daniels,Democratic,2261
Fulton,Secretary of State,Jim Lagrone,Republican,934
Fulton,Secretary of State,"Ralph ""Marty"" Scully",Green,102
Fulton,State Auditor,Auditor of State Jim Wood,Democratic,2586
Fulton,State Auditor,Michael Joseph Bolzenius,Green,451
Fulton,State Treasurer,Martha Shoffner,Democratic,2122
Fulton,State Treasurer,Chris Morris,Republican,1000
Fulton,State Treasurer,Brock Carpenter,Green,145
Garland,Attorney General,Dustin McDaniel,Democratic,16045
Garland,Attorney General,Gunner DeLay,Republican,11696
Garland,Attorney General,Rebekah Kennedy,Green,1269
Garland,Governor,Mike Beebe,Democratic,15482
Garland,Governor,Asa Hutchinson,Republican,12530
Garland,Governor,Rod Bryan,Independent,837
Garland,Governor,Jim Lendall,Green,733
Garland,Governor,Michael Jones,Write-In,0
Garland,Governor,Gene Mason,Write-In,0
Garland,Land Commissioner,Mark Wilcox,Democratic,21017
Garland,Land Commissioner,Robert David Lewis,Green,4954
Garland,Lieutenant Governor,Bill Halter,Democratic,16465
Garland,Lieutenant Governor,Jim Holt,Republican,12533
Garland,Secretary of State,Charlie Daniels,Democratic,17121
Garland,Secretary of State,Jim Lagrone,Republican,10938
Garland,Secretary of State,"Ralph ""Marty"" Scully",Green,1025
Garland,State Auditor,Auditor of State Jim Wood,Democratic,21589
Garland,State Auditor,Michael Joseph Bolzenius,Green,4729
Garland,State Treasurer,Martha Shoffner,Democratic,16788
Garland,State Treasurer,Chris Morris,Republican,11873
Garland,State Treasurer,Brock Carpenter,Green,1088
Grant,Attorney General,Dustin McDaniel,Democratic,3054
Grant,Attorney General,Gunner DeLay,Republican,1861
Grant,Attorney General,Rebekah Kennedy,Green,211
Grant,Governor,Mike Beebe,Democratic,2798
Grant,Governor,Asa Hutchinson,Republican,2186
Grant,Governor,Rod Bryan,Independent,134
Grant,Governor,Jim Lendall,Green,65
Grant,Governor,Michael Jones,Write-In,0
Grant,Governor,Gene Mason,Write-In,0
Grant,Land Commissioner,Mark Wilcox,Democratic,4065
Grant,Land Commissioner,Robert David Lewis,Green,785
Grant,Lieutenant Governor,Bill Halter,Democratic,3066
Grant,Lieutenant Governor,Jim Holt,Republican,2092
Grant,Secretary of State,Charlie Daniels,Democratic,3319
Grant,Secretary of State,Jim Lagrone,Republican,1697
Grant,Secretary of State,"Ralph ""Marty"" Scully",Green,128
Grant,State Auditor,Auditor of State Jim Wood,Democratic,4346
Grant,State Auditor,Michael Joseph Bolzenius,Green,547
Grant,State Treasurer,Martha Shoffner,Democratic,3209
Grant,State Treasurer,Chris Morris,Republican,1737
Grant,State Treasurer,Brock Carpenter,Green,146
Greene,Attorney General,Dustin McDaniel,Democratic,6620
Greene,Attorney General,Gunner DeLay,Republican,2263
Greene,Attorney General,Rebekah Kennedy,Green,296
Greene,Governor,Mike Beebe,Democratic,5724
Greene,Governor,Asa Hutchinson,Republican,3283
Greene,Governor,Rod Bryan,Independent,117
Greene,Governor,Jim Lendall,Green,79
Greene,Governor,Michael Jones,Write-In,0
Greene,Governor,Gene Mason,Write-In,0
Greene,Land Commissioner,Mark Wilcox,Democratic,7191
Greene,Land Commissioner,Robert David Lewis,Green,1288
Greene,Lieutenant Governor,Bill Halter,Democratic,5535
Greene,Lieutenant Governor,Jim Holt,Republican,3533
Greene,Secretary of State,Charlie Daniels,Democratic,6233
Greene,Secretary of State,Jim Lagrone,Republican,2571
Greene,Secretary of State,"Ralph ""Marty"" Scully",Green,325
Greene,State Auditor,Auditor of State Jim Wood,Democratic,6535
Greene,State Auditor,Michael Joseph Bolzenius,Green,2451
Greene,State Treasurer,Martha Shoffner,Democratic,6042
Greene,State Treasurer,Chris Morris,Republican,2646
Greene,State Treasurer,Brock Carpenter,Green,344
Hempstead,Attorney General,Dustin McDaniel,Democratic,3285
Hempstead,Attorney General,Gunner DeLay,Republican,1372
Hempstead,Attorney General,Rebekah Kennedy,Green,188
Hempstead,Governor,Mike Beebe,Democratic,3212
Hempstead,Governor,Asa Hutchinson,Republican,1566
Hempstead,Governor,Rod Bryan,Independent,65
Hempstead,Governor,Jim Lendall,Green,48
Hempstead,Governor,Michael Jones,Write-In,4
Hempstead,Governor,Gene Mason,Write-In,1
Hempstead,Land Commissioner,Mark Wilcox,Democratic,4145
Hempstead,Land Commissioner,Robert David Lewis,Green,530
Hempstead,Lieutenant Governor,Bill Halter,Democratic,3071
Hempstead,Lieutenant Governor,Jim Holt,Republican,1779
Hempstead,Secretary of State,Charlie Daniels,Democratic,3436
Hempstead,Secretary of State,Jim Lagrone,Republican,1330
Hempstead,Secretary of State,"Ralph ""Marty"" Scully",Green,100
Hempstead,State Auditor,Auditor of State Jim Wood,Democratic,4305
Hempstead,State Auditor,Michael Joseph Bolzenius,Green,394
Hempstead,State Treasurer,Martha Shoffner,Democratic,3216
Hempstead,State Treasurer,Chris Morris,Republican,1483
Hempstead,State Treasurer,Brock Carpenter,Green,147
Hot Spring,Attorney General,Dustin McDaniel,Democratic,5556
Hot Spring,Attorney General,Gunner DeLay,Republican,2580
Hot Spring,Attorney General,Rebekah Kennedy,Green,372
Hot Spring,Governor,Mike Beebe,Democratic,5312
Hot Spring,Governor,Asa Hutchinson,Republican,3012
Hot Spring,Governor,Rod Bryan,Independent,184
Hot Spring,Governor,Jim Lendall,Green,140
Hot Spring,Governor,Michael Jones,Write-In,0
Hot Spring,Governor,Gene Mason,Write-In,0
Hot Spring,Land Commissioner,Mark Wilcox,Democratic,5726
Hot Spring,Land Commissioner,Robert David Lewis,Green,2293
Hot Spring,Lieutenant Governor,Bill Halter,Democratic,5704
Hot Spring,Lieutenant Governor,Jim Holt,Republican,2865
Hot Spring,Secretary of State,Charlie Daniels,Democratic,6096
Hot Spring,Secretary of State,Jim Lagrone,Republican,2225
Hot Spring,Secretary of State,"Ralph ""Marty"" Scully",Green,254
Hot Spring,State Auditor,Auditor of State Jim Wood,Democratic,7113
Hot Spring,State Auditor,Michael Joseph Bolzenius,Green,984
Hot Spring,State Treasurer,Martha Shoffner,Democratic,5849
Hot Spring,State Treasurer,Chris Morris,Republican,2326
Hot Spring,State Treasurer,Brock Carpenter,Green,340
Howard,Attorney General,Dustin McDaniel,Democratic,2195
Howard,Attorney General,Gunner DeLay,Republican,895
Howard,Attorney General,Rebekah Kennedy,Green,117
Howard,Governor,Mike Beebe,Democratic,2090
Howard,Governor,Asa Hutchinson,Republican,1057
Howard,Governor,Rod Bryan,Independent,65
Howard,Governor,Jim Lendall,Green,43
Howard,Governor,Michael Jones,Write-In,0
Howard,Governor,Gene Mason,Write-In,0
Howard,Land Commissioner,Mark Wilcox,Democratic,2693
Howard,Land Commissioner,Robert David Lewis,Green,350
Howard,Lieutenant Governor,Bill Halter,Democratic,1990
Howard,Lieutenant Governor,Jim Holt,Republican,1235
Howard,Secretary of State,Charlie Daniels,Democratic,2254
Howard,Secretary of State,Jim Lagrone,Republican,911
Howard,Secretary of State,"Ralph ""Marty"" Scully",Green,56
Howard,State Auditor,Auditor of State Jim Wood,Democratic,2795
Howard,State Auditor,Michael Joseph Bolzenius,Green,291
Howard,State Treasurer,Martha Shoffner,Democratic,2172
Howard,State Treasurer,Chris Morris,Republican,954
Howard,State Treasurer,Brock Carpenter,Green,83
Independence,Attorney General,Dustin McDaniel,Democratic,6312
Independence,Attorney General,Gunner DeLay,Republican,3112
Independence,Attorney General,Rebekah Kennedy,Green,386
Independence,Governor,Mike Beebe,Democratic,5608
Independence,Governor,Asa Hutchinson,Republican,3934
Independence,Governor,Rod Bryan,Independent,271
Independence,Governor,Jim Lendall,Green,189
Independence,Governor,Michael Jones,Write-In,0
Independence,Governor,Gene Mason,Write-In,0
Independence,Land Commissioner,Mark Wilcox,Democratic,7881
Independence,Land Commissioner,Robert David Lewis,Green,1281
Independence,Lieutenant Governor,Bill Halter,Democratic,5897
Independence,Lieutenant Governor,Jim Holt,Republican,3940
Independence,Secretary of State,Charlie Daniels,Democratic,6684
Independence,Secretary of State,Jim Lagrone,Republican,2877
Independence,Secretary of State,"Ralph ""Marty"" Scully",Green,303
Independence,State Auditor,Auditor of State Jim Wood,Democratic,8043
Independence,State Auditor,Michael Joseph Bolzenius,Green,1215
Independence,State Treasurer,Martha Shoffner,Democratic,6922
Independence,State Treasurer,Chris Morris,Republican,2660
Independence,State Treasurer,Brock Carpenter,Green,264
Izard,Attorney General,Dustin McDaniel,Democratic,2563
Izard,Attorney General,Gunner DeLay,Republican,1249
Izard,Attorney General,Rebekah Kennedy,Green,256
Izard,Governor,Mike Beebe,Democratic,2412
Izard,Governor,Asa Hutchinson,Republican,1534
Izard,Governor,Rod Bryan,Independent,113
Izard,Governor,Jim Lendall,Green,96
Izard,Governor,Michael Jones,Write-In,0
Izard,Governor,Gene Mason,Write-In,0
Izard,Land Commissioner,Mark Wilcox,Democratic,3162
Izard,Land Commissioner,Robert David Lewis,Green,632
Izard,Lieutenant Governor,Bill Halter,Democratic,2439
Izard,Lieutenant Governor,Jim Holt,Republican,1674
Izard,Secretary of State,Charlie Daniels,Democratic,2714
Izard,Secretary of State,Jim Lagrone,Republican,1213
Izard,Secretary of State,"Ralph ""Marty"" Scully",Green,163
Izard,State Auditor,Auditor of State Jim Wood,Democratic,3262
