county,office,candidate,party,votes
Cleburne,Lieutenant Governor,Bill Halter,Democratic,5141
Cleburne,Lieutenant Governor,Jim Holt,Republican,4431
Cleburne,Secretary of State,Charlie Daniels,Democratic,5643
Cleburne,Secretary of State,Jim Lagrone,Republican,3609
Cleburne,Secretary of State,"Ralph ""Marty"" Scully",Green,296
Cleburne,State Auditor,Auditor of State Jim Wood,Democratic,7354
Cleburne,State Auditor,Michael Joseph Bolzenius,Green,1256
Cleburne,State Treasurer,Martha Shoffner,Democratic,5543
Cleburne,State Treasurer,Chris Morris,Republican,3493
Cleburne,State Treasurer,Brock Carpenter,Green,434
Cleveland,Attorney General,Dustin McDaniel,Democratic,1581
Cleveland,Attorney General,Gunner DeLay,Republican,811
Cleveland,Attorney General,Rebekah Kennedy,Green,89
Cleveland,Governor,Mike Beebe,Democratic,1450
Cleveland,Governor,Asa Hutchinson,Republican,982
Cleveland,Governor,Rod Bryan,Independent,76
Cleveland,Governor,Jim Lendall,Green,59
Cleveland,Governor,Michael Jones,Write-In,0
Cleveland,Governor,Gene Mason,Write-In,0
Cleveland,Land Commissioner,Mark Wilcox,Democratic,2110
Cleveland,Land Commissioner,Robert David Lewis,Green,259
Cleveland,Lieutenant Governor,Bill Halter,Democratic,1608
Cleveland,Lieutenant Governor,Jim Holt,Republican,913
Cleveland,Secretary of State,Charlie Daniels,Democratic,1748
Cleveland,Secretary of State,Jim Lagrone,Republican,682
Cleveland,Secretary of State,"Ralph ""Marty"" Scully",Green,87
Cleveland,State Auditor,Auditor of State Jim Wood,Democratic,2122
Cleveland,State Auditor,Michael Joseph Bolzenius,Green,255
Cleveland,State Treasurer,Martha Shoffner,Democratic,1727
Cleveland,State Treasurer,Chris Morris,Republican,698
Cleveland,State Treasurer,Brock Carpenter,Green,66
Columbia,Attorney General,Dustin McDaniel,Democratic,2973
Columbia,Attorney General,Gunner DeLay,Republican,2434
Columbia,Attorney General,Rebekah Kennedy,Green,190
Columbia,Governor,Mike Beebe,Democratic,3379
Columbia,Governor,Asa Hutchinson,Republican,2549
Columbia,Governor,Rod Bryan,Independent,68
Columbia,Governor,Jim Lendall,Green,45
Columbia,Governor,Michael Jones,Write-In,0
Columbia,Governor,Gene Mason,Write-In,0
Columbia,Land Commissioner,Mark Wilcox,Democratic,4319
Columbia,Land Commissioner,Robert David Lewis,Green,923
Columbia,Lieutenant Governor,Bill Halter,Democratic,3104
Columbia,Lieutenant Governor,Jim Holt,Republican,2769
Columbia,Secretary of State,Charlie Daniels,Democratic,3562
Columbia,Secretary of State,Jim Lagrone,Republican,2069
Columbia,Secretary of State,"Ralph ""Marty"" Scully",Green,178
Columbia,State Auditor,Auditor of State Jim Wood,Democratic,4585
Columbia,State Auditor,Michael Joseph Bolzenius,Green,657
Columbia,State Treasurer,Martha Shoffner,Democratic,3380
Columbia,State Treasurer,Chris Morris,Republican,2237
Columbia,State Treasurer,Brock Carpenter,Green,138
Conway,Attorney General,Dustin McDaniel,Democratic,4306
Conway,Attorney General,Gunner DeLay,Republican,1899
Conway,Attorney General,Rebekah Kennedy,Green,291
Conway,Governor,Mike Beebe,Democratic,4125
Conway,Governor,Asa Hutchinson,Republican,2268
Conway,Governor,Rod Bryan,Independent,130
Conway,Governor,Jim Lendall,Green,111
Conway,Governor,Michael Jones,Write-In,0
Conway,Governor,Gene Mason,Write-In,0
Conway,Land Commissioner,Mark Wilcox,Democratic,5352
Conway,Land Commissioner,Robert David Lewis,Green,793
Conway,Lieutenant Governor,Bill Halter,Democratic,4470
Conway,Lieutenant Governor,Jim Holt,Republican,2126
Conway,Secretary of State,Charlie Daniels,Democratic,4729
Conway,Secretary of State,Jim Lagrone,Republican,1650
Conway,Secretary of State,"Ralph ""Marty"" Scully",Green,232
Conway,State Auditor,Auditor of State Jim Wood,Democratic,5442
Conway,State Auditor,Michael Joseph Bolzenius,Green,704
Conway,State Treasurer,Martha Shoffner,Democratic,4619
Conway,State Treasurer,Chris Morris,Republican,1660
Conway,State Treasurer,Brock Carpenter,Green,218
Craighead,Attorney General,Dustin McDaniel,Democratic,14547
Craighead,Attorney General,Gunner DeLay,Republican,5639
Craighead,Attorney General,Rebekah Kennedy,Green,525
Craighead,Governor,Mike Beebe,Democratic,12753
Craighead,Governor,Asa Hutchinson,Republican,7696
Craighead,Governor,Rod Bryan,Independent,267
Craighead,Governor,Jim Lendall,Green,149
Craighead,Governor,Gene Mason,Write-In,6
Craighead,Governor,Michael Jones,Write-In,5
Craighead,Land Commissioner,Mark Wilcox,Democratic,15938
Craighead,Land Commissioner,Robert David Lewis,Green,2940
Craighead,Lieutenant Governor,Bill Halter,Democratic,11826
Craighead,Lieutenant Governor,Jim Holt,Republican,8772
Craighead,Secretary of State,Charlie Daniels,Democratic,13128
Craighead,Secretary of State,Jim Lagrone,Republican,6907
Craighead,Secretary of State,"Ralph ""Marty"" Scully",Green,453
Craighead,State Auditor,Auditor of State Jim Wood,Democratic,16799
Craighead,State Auditor,Michael Joseph Bolzenius,Green,2438
Craighead,State Treasurer,Martha Shoffner,Democratic,13099
Craighead,State Treasurer,Chris Morris,Republican,6709
Craighead,State Treasurer,Brock Carpenter,Green,509
Crawford,Attorney General,Gunner DeLay,Republican,8017
Crawford,Attorney General,Dustin McDaniel,Democratic,7002
Crawford,Attorney General,Rebekah Kennedy,Green,781
Crawford,Governor,Asa Hutchinson,Republican,8139
Crawford,Governor,Mike Beebe,Democratic,7249
Crawford,Governor,Rod Bryan,Independent,344
Crawford,Governor,Jim Lendall,Green,260
Crawford,Governor,Michael Jones,Write-In,0
Crawford,Governor,Gene Mason,Write-In,0
Crawford,Land Commissioner,Mark Wilcox,Democratic,10724
Crawford,Land Commissioner,Robert David Lewis,Green,3139
Crawford,Lieutenant Governor,Jim Holt,Republican,8389
Crawford,Lieutenant Governor,Bill Halter,Democratic,7511
Crawford,Secretary of State,Charlie Daniels,Democratic,8661
Crawford,Secretary of State,Jim Lagrone,Republican,6667
Crawford,Secretary of State,"Ralph ""Marty"" Scully",Green,385
Crawford,State Auditor,Auditor of State Jim Wood,Democratic,11214
Crawford,State Auditor,Michael Joseph Bolzenius,Green,2763
Crawford,State Treasurer,Martha Shoffner,Democratic,7639
Crawford,State Treasurer,Chris Morris,Republican,7165
Crawford,State Treasurer,Brock Carpenter,Green,679
Crittenden,Attorney General,Dustin McDaniel,Democratic,10413
Crittenden,Attorney General,Gunner DeLay,Republican,4732
Crittenden,Attorney General,Rebekah Kennedy,Green,627
Crittenden,Governor,Mike Beebe,Democratic,13246
Crittenden,Governor,Asa Hutchinson,Republican,5023
Crittenden,Governor,Jim Lendall,Green,180
Crittenden,Governor,Rod Bryan,Independent,148
Crittenden,Governor,Michael Jones,Write-In,0
Crittenden,Governor,Gene Mason,Write-In,0
Crittenden,Land Commissioner,Mark Wilcox,Democratic,12402
Crittenden,Land Commissioner,Robert David Lewis,Green,2362
Crittenden,Lieutenant Governor,Bill Halter,Democratic,8808
Crittenden,Lieutenant Governor,Jim Holt,Republican,7021
Crittenden,Secretary of State,Charlie Daniels,Democratic,11017
Crittenden,Secretary of State,Jim Lagrone,Republican,4498
Crittenden,Secretary of State,"Ralph ""Marty"" Scully",Green,314
Crittenden,State Auditor,Auditor of State Jim Wood,Democratic,13592
Crittenden,State Auditor,Michael Joseph Bolzenius,Green,1456
Crittenden,State Treasurer,Martha Shoffner,Democratic,10366
Crittenden,State Treasurer,Chris Morris,Republican,4832
Crittenden,State Treasurer,Brock Carpenter,Green,422
Cross,Attorney General,Dustin McDaniel,Democratic,3442
Cross,Attorney General,Gunner DeLay,Republican,1576
Cross,Attorney General,Rebekah Kennedy,Green,221
Cross,Governor,Mike Beebe,Democratic,3331
Cross,Governor,Asa Hutchinson,Republican,1819
Cross,Governor,Rod Bryan,Independent,138
Cross,Governor,Jim Lendall,Green,105
Cross,Governor,Michael Jones,Write-In,2
Cross,Governor,Gene Mason,Write-In,0
Cross,Land Commissioner,Mark Wilcox,Democratic,4188
Cross,Land Commissioner,Robert David Lewis,Green,741
Cross,Lieutenant Governor,Bill Halter,Democratic,3116
Cross,Lieutenant Governor,Jim Holt,Republican,2175
Cross,Secretary of State,Charlie Daniels,Democratic,3717
Cross,Secretary of State,Jim Lagrone,Republican,1426
Cross,Secretary of State,"Ralph ""Marty"" Scully",Green,127
Cross,State Auditor,Auditor of State Jim Wood,Democratic,4572
Cross,State Auditor,Michael Joseph Bolzenius,Green,485
Cross,State Treasurer,Martha Shoffner,Democratic,3372
Cross,State Treasurer,Chris Morris,Republican,1665
Cross,State Treasurer,Brock Carpenter,Green,190
Dallas,Attorney General,Dustin McDaniel,Democratic,1954
Dallas,Attorney General,Gunner DeLay,Republican,747
Dallas,Attorney General,Rebekah Kennedy,Green,71
Dallas,Governor,Mike Beebe,Democratic,1774
Dallas,Governor,Asa Hutchinson,Republican,975
Dallas,Governor,Rod Bryan,Independent,36
Dallas,Governor,Jim Lendall,Green,36
Dallas,Governor,Michael Jones,Write-In,0
Dallas,Governor,Gene Mason,Write-In,0
Dallas,Land Commissioner,Mark Wilcox,Democratic,2387
Dallas,Land Commissioner,Robert David Lewis,Green,263
Dallas,Lieutenant Governor,Bill Halter,Democratic,1852
Dallas,Lieutenant Governor,Jim Holt,Republican,951
Dallas,Secretary of State,Charlie Daniels,Democratic,2097
Dallas,Secretary of State,Jim Lagrone,Republican,651
Dallas,Secretary of State,"Ralph ""Marty"" Scully",Green,44
Dallas,State Auditor,Auditor of State Jim Wood,Democratic,2480
Dallas,State Auditor,Michael Joseph Bolzenius,Green,188
Dallas,State Treasurer,Martha Shoffner,Democratic,1948
Dallas,State Treasurer,Chris Morris,Republican,736
Dallas,State Treasurer,Brock Carpenter,Green,78
Desha,Attorney General,Dustin McDaniel,Democratic,2606
Desha,Attorney General,Gunner DeLay,Republican,525
Desha,Attorney General,Rebekah Kennedy,Green,87
Desha,Governor,Mike Beebe,Democratic,2516
Desha,Governor,Asa Hutchinson,Republican,703
Desha,Governor,Rod Bryan,Independent,58
Desha,Governor,Jim Lendall,Green,44
Desha,Governor,Michael Jones,Write-In,0
Desha,Governor,Gene Mason,Write-In,0
Desha,Land Commissioner,Mark Wilcox,Democratic,2836
Desha,Land Commissioner,Robert David Lewis,Green,210
Desha,Lieutenant Governor,Bill Halter,Democratic,2571
Desha,Lieutenant Governor,Jim Holt,Republican,668
Desha,Secretary of State,Charlie Daniels,Democratic,2628
Desha,Secretary of State,Jim Lagrone,Republican,556
Desha,Secretary of State,"Ralph ""Marty"" Scully",Green,56
Desha,State Auditor,Auditor of State Jim Wood,Democratic,2905
Desha,State Auditor,Michael Joseph Bolzenius,Green,190
Desha,State Treasurer,Martha Shoffner,Democratic,2634
Desha,State Treasurer,Chris Morris,Republican,501
Desha,State Treasurer,Brock Carpenter,Green,64
Drew,Attorney General,Dustin McDaniel,Democratic,2854
Drew,Attorney General,Gunner DeLay,Republican,1136
Drew,Attorney General,Rebekah Kennedy,Green,118
Drew,Governor,Mike Beebe,Democratic,2556
Drew,Governor,Asa Hutchinson,Republican,1447
Drew,Governor,Rod Bryan,Independent,72
Drew,Governor,Jim Lendall,Green,55
Drew,Governor,Michael Jones,Write-In,0
Drew,Governor,Gene Mason,Write-In,0
Drew,Land Commissioner,Mark Wilcox,Democratic,3500
Drew,Land Commissioner,Robert David Lewis,Green,412
Drew,Lieutenant Governor,Bill Halter,Democratic,2743
Drew,Lieutenant Governor,Jim Holt,Republican,1392
Drew,Secretary of State,Charlie Daniels,Democratic,2947
Drew,Secretary of State,Jim Lagrone,Republican,1098
Drew,Secretary of State,"Ralph ""Marty"" Scully",Green,92
Drew,State Auditor,Auditor of State Jim Wood,Democratic,3567
Drew,State Auditor,Michael Joseph Bolzenius,Green,364
Drew,State Treasurer,Martha Shoffner,Democratic,2833
Drew,State Treasurer,Chris Morris,Republican,1086
Drew,State Treasurer,Brock Carpenter,Green,91
Faulkner,Attorney General,Dustin McDaniel,Democratic,13169
Faulkner,Attorney General,Gunner DeLay,Republican,10143
Faulkner,Attorney General,Rebekah Kennedy,Green,1118
Faulkner,Governor,Mike Beebe,Democratic,12419
Faulkner,Governor,Asa Hutchinson,Republican,11506
Faulkner,Governor,Rod Bryan,Independent,493
Faulkner,Governor,Jim Lendall,Green,465
Faulkner,Governor,Michael Jones,Write-In,0
Faulkner,Governor,Gene Mason,Write-In,0
Faulkner,Land Commissioner,Mark Wilcox,Democratic,19465
Faulkner,Land Commissioner,Robert David Lewis,Green,3278
Faulkner,Lieutenant Governor,Bill Halter,Democratic,13475
Faulkner,Lieutenant Governor,Jim Holt,Republican,11156
Faulkner,Secretary of State,Charlie Daniels,Democratic,13745
Faulkner,Secretary of State,Jim Lagrone,Republican,9857
