"Contest ID", "Contest Name"       , "Location ID", "Total Precincts", "Precincts Reporting", "Precincts Partially Reporting", "Total Votes", "Candidate ID", "Candidate Name"                    , "Candidate Votes", "Candidate Vote Percentage"
"286"       , "Governor"           , "1"          , "131"            , "131"                , "0"                            , "124153"     , "528"         , "Chris Jones"                       , "75393"          , "61.00"
"286"       , "Governor"           , "1"          , "131"            , "131"                , "0"                            , "124153"     , "530"         , "Sarah Huckabee Sanders"            , "47027"          , "38.00"
"286"       , "Governor"           , "1"          , "131"            , "131"                , "0"                            , "124153"     , "529"         , "Ricky Dale Harrington, Jr."        , "1733"           , "1.00"
"286"       , "Governor"           , "2"          , "21"             , "21"                 , "0"                            , "6273"       , "530"         , "Sarah Huckabee Sanders"            , "4810"           , "77.00"
"286"       , "Governor"           , "2"          , "21"             , "21"                 , "0"                            , "6273"       , "528"         , "Chris Jones"                       , "1335"           , "21.00"
"286"       , "Governor"           , "2"          , "21"             , "21"                 , "0"                            , "6273"       , "529"         , "Ricky Dale Harrington, Jr."        , "128"            , "2.00"
"286"       , "Governor"           , "3"          , "18"             , "18"                 , "0"                            , "7023"       , "530"         , "Sarah Huckabee Sanders"            , "4065"           , "58.00"
"286"       , "Governor"           , "3"          , "18"             , "18"                 , "0"                            , "7023"       , "528"         , "Chris Jones"                       , "2863"           , "41.00"
"286"       , "Governor"           , "3"          , "18"             , "18"                 , "0"                            , "7023"       , "529"         , "Ricky Dale Harrington, Jr."        , "95"             , "1.00"
"286"       , "Governor"           , "4"          , "55"             , "55"                 , "0"                            , "22370"      , "530"         , "Sarah Huckabee Sanders"            , "16603"          , "74.00"
"286"       , "Governor"           , "4"          , "55"             , "55"                 , "0"                            , "22370"      , "528"         , "Chris Jones"                       , "5287"           , "24.00"
"286"       , "Governor"           , "4"          , "55"             , "55"                 , "0"                            , "22370"      , "529"         , "Ricky Dale Harrington, Jr."        , "480"            , "2.00"
"286"       , "Governor"           , "5"          , "28"             , "28"                 , "0"                            , "4642"       , "530"         , "Sarah Huckabee Sanders"            , "3655"           , "79.00"
"286"       , "Governor"           , "5"          , "28"             , "28"                 , "0"                            , "4642"       , "528"         , "Chris Jones"                       , "876"            , "19.00"
"286"       , "Governor"           , "5"          , "28"             , "28"                 , "0"                            , "4642"       , "529"         , "Ricky Dale Harrington, Jr."        , "111"            , "2.00"
"286"       , "Governor"           , "6"          , "13"             , "13"                 , "0"                            , "2464"       , "530"         , "Sarah Huckabee Sanders"            , "1658"           , "67.00"
"286"       , "Governor"           , "6"          , "13"             , "13"                 , "0"                            , "2464"       , "528"         , "Chris Jones"                       , "780"            , "32.00"
