Auditor of State	Candidates				
Summary of General Election Results November 7, 2006	Michael Joseph Bolzenius Green Party	Auditor of State Jim Wood Democrat	Grand Totals	Registered Voters	Voter Turnout
Arkansas County	378	5,012	5,390	11,733	45.94%
Ashley County	432	4,885	5,317	12,666	41.98%
Baxter County	2,388	9,483	11,871	27,610	43.00%
Benton County	10,544	31,183	41,727	95,215	43.82%
Boone County	1,778	6,994	8,772	22,068	39.75%
Bradley County	197	2,424	2,621	6,169	42.49%
Calhoun County	182	1,481	1,663	3,756	44.28%
Carroll County	1,537	5,775	7,312	14,176	51.58%
Chicot County	228	3,139	3,367	7,772	43.32%
Clark County	567	5,512	6,079	12,371	49.14%
Clay County	422	3,636	4,058	10,604	38.27%
Cleburne County	1,256	7,354	8,610	17,155	50.19%
Cleveland County	255	2,122	2,377	5,323	44.66%
Columbia County	657	4,585	5,242	16,752	31.29%
Conway County	704	5,442	6,146	13,375	45.95%
Craighead County	2,438	16,799	19,237	50,621	38.00%
Crawford County	2,763	11,214	13,977	27,384	51.04%
Crittenden County	1,456	13,592	15,048	29,350	51.27%
Cross County	485	4,572	5,057	11,309	44.72%
Dallas County	188	2,480	2,668	5,352	49.85%
Desha County	190	2,905	3,095	9,563	32.36%
Drew County	364	3,567	3,931	10,280	38.24%
Faulkner County	3,441	18,259	21,700	58,925	36.83%
Franklin County	701	4,443	5,144	10,259	50.14%
Fulton County	451	2,586	3,037	7,149	42.48%
Garland County	4,729	21,589	26,318	68,802	38.25%
Grant County	547	4,346	4,893	9,898	49.43%
Greene County	2,451	6,535	8,986	20,480	43.88%
Hempstead County	394	4,305	4,699	10,204	46.05%
Hot Spring County	984	7,113	8,097	18,415	43.97%
Howard County	291	2,795	3,086	7,223	42.72%
Independence County	1,215	8,043	9,258	20,518	45.12%
Izard County	596	3,262	3,858	7,296	52.88%
Jackson County	358	4,059	4,417	9,561	46.20%
Jefferson County	1,913	17,026	18,939	48,529	39.03%
Johnson County	757	4,810	5,567	13,339	41.73%
Lafayette County	213	2,160	2,373	4,229	56.11%
Lawrence County	539	4,067	4,606	10,070	45.74%
Lee County	193	2,601	2,794	6,114	45.70%
Lincoln County	222	2,468	2,690	6,570	40.94%
Little River County	373	3,138	3,511	7,848	44.74%
Logan County	962	5,160	6,122	13,050	46.91%
Lonoke County	2,387	12,588	14,975	31,591	47.40%
Madison County	845	3,948	4,793	8,368	57.28%
Marion County	1,076	4,271	5,347	10,377	51.53%
Miller County	1,417	7,396	8,813	23,129	38.10%
Mississippi County	979	8,542	9,521	23,020	41.36%
Monroe County	167	2,479	2,646	5,677	46.61%
Montgomery County	389	2,226	2,615	5,126	51.01%
Nevada County	258	2,263	2,521	5,802	43.45%
Newton County	778	2,215	2,993	5,638	53.09%
Ouachita County	761	6,380	7,141	19,935	35.82%
Perry County	442	2,911	3,353	6,405	52.35%
Phillips County	443	6,193	6,636	18,803	35.29%
Pike County	298	2,668	2,966	5,649	52.50%
Poinsett County	675	5,273	5,948	13,231	44.96%
Polk County	927	4,088	5,015	11,548	43.43%
Pope County	2,241	11,903	14,144	30,326	46.64%
Prairie County	211	2,506	2,717	4,771	56.95%
Pulaski County	14,613	86,794	101,407	237,039	42.78%
Randolph County	552	3,654	4,206	10,260	40.99%
Saline County	4,747	24,470	29,217	57,430	50.87%
Scott County	371	2,241	2,612	6,056	43.13%
Searcy County	520	1,997	2,517	6,403	39.31%
Sebastian County	5,153	23,950	29,103	61,685	47.18%
Sevier County	302	2,566	2,868	6,498	44.14%
Sharp County	751	4,330	5,081	10,436	48.69%
St. Francis County	589	6,009	6,598	18,959	34.80%
Stone County	660	3,393	4,053	7,741	52.36%
Union County	1,282	8,981	10,263	29,624	34.64%
Van Buren County	774	4,143	4,917	9,981	49.26%
Washington County	7,948	32,062	40,010	87,215	45.88%
White County	2,672	16,042	18,714	43,136	43.38%
Woodruff County	102	2,338	2,440	4,746	51.41%
Yell County	446	3,759	4,205	9,583	43.88%
Totals	106,515	597,500	704,015	1,615,271	43.58%
Statewide Percentage of Votes Received	15.13%	84.87%			
