"Contest ID","Contest Name","Location ID","Total Precincts","Precincts Reporting","Precincts Partially Reporting","Total Votes","Candidate ID","Candidate Name","Candidate Votes","Candidate Vote Percentage"
"64","City of Leachville, Ward 2, Pos. 1","20","1","1","0","547","127","Kevin Crider","140","25.59"
"65","City of DeValls Bluff, Alderman Ward 3, Pos. 2","58","3","3","0","140","129","Scotty Troy","90","64.29"
"65","City of DeValls Bluff, Alderman Ward 3, Pos. 2","58","3","3","0","140","128","Marie Flanagan","50","35.71"
"66","CITY OF MARION, HOTEL TAX City of Marion Hotel","10","2","2","0","5078","131","FOR PROPOSED AMENDMENT","2873","56.58"
"66","CITY OF MARION, HOTEL TAX City of Marion Hotel","10","2","2","0","5078","130","AGAINST PROPOSED AMENDMENT","2205","43.42"
"70","City of Hardy Alderman Ward 1 Position 1 City of","29","1","1","0","16","139","IND Laura J. Smith","9","56.25"
"70","City of Hardy Alderman Ward 1 Position 1 City of","29","1","1","0","16","138","IND Ginni Kauffman","7","43.75"
"75","City of Hickory Ridge 1% Sales and Use Tax","16","1","1","0","92","151","FOR","62","67.39"
"75","City of Hickory Ridge 1% Sales and Use Tax","16","1","1","0","92","150","AGAINST","30","32.61"
"80","Norfork City Recorder/Treasurer Norfork","49","1","1","0","210","160","Hannah Martin","113","53.81"
"80","Norfork City Recorder/Treasurer Norfork","49","1","1","0","210","159","Candace Mae Lewis","97","46.19"
"84","City of Mammoth Spring Alderman Ward 2 Position 1","29","1","1","0","307","186","IND Barry O'Dell","192","62.54"
"84","City of Mammoth Spring Alderman Ward 2 Position 1","29","1","1","0","307","187","IND R. Dan Grant","115","37.46"
"85","City of Texarkana Ward 1","43","6","6","0","1888","189","Terry Roberts","1575","83.42"
"85","City of Texarkana Ward 1","43","6","6","0","1888","188","Randy Henry","313","16.58"
"86","Hardy Alderman Ward 1 Position 1 City of Hardy","51","1","1","0","308","190","IND Ginni Kauffman","168","54.55"
"86","Hardy Alderman Ward 1 Position 1 City of Hardy","51","1","1","0","308","191","IND Laura J. Smith","140","45.45"
"105","City of Parkin Mayoral Recall","16","1","1","0","373","229","FOR","193","51.74"
"105","City of Parkin Mayoral Recall","16","1","1","0","373","228","AGAINST","180","48.26"
"108","City of McGehee Alderman Ward 3 Position 1","60","1","1","0","252","233","Glory Ann Richardson","144","57.14"
"108","City of McGehee Alderman Ward 3 Position 1","60","1","1","0","252","234","Ricky Lattimore","108","42.86"
"114","City of Pine Bluff, Mayor","13","97","97","0","11260","245","DEM Vivian Flowers","9902","87.94"
"114","City of Pine Bluff, Mayor","13","97","97","0","11260","246","LIB John Fenley","1358","12.06"
"115","City of Wynne, Alderman Ward 1 Pos. 2","16","1","1","0","561","248","Charles Chris Davis","349","62.21"
"115","City of Wynne, Alderman Ward 1 Pos. 2","16","1","1","0","561","247","Chandler Calvert","212","37.79"
"119","City of Humnoke, City Clerk","4","1","1","0","91","255","Micah Romine","91","100.00"
"122","City of Austin, City Clerk","4","1","1","0","1184","260","Tommie Hoffman","1184","100.00"
"129","ALDERMAN OF OXFORD WARD 1 POSITION 1 City of Oxfo","48","2","2","0","210","273","IND Douglas Yancey","113","53.81"
"129","ALDERMAN OF OXFORD WARD 1 POSITION 1 City of Oxfo","48","2","2","0","210","274","IND Jessie Morgan","97","46.19"
"133","Camden Alderman Ward 2 Position 1","3","1","1","0","523","284","IND Lawrence 'Joe' Askew","338","64.63"
"133","Camden Alderman Ward 2 Position 1","3","1","1","0","523","283","IND Chuck B. Douglas","185","35.37"
"136","Ozan Mayor","15","1","1","0","40","289","David Stallsworth","40","100.00"
"138","POSITION JASPER 1-1, CITY OF MARION City of Mario","10","2","2","0","4909","293","Councilwoman Kelsey Pirani Hensley","2281","46.47"
"138","POSITION JASPER 1-1, CITY OF MARION City of Mario","10","2","2","0","4909","294","Gene Hardin","1344","27.38"
"138","POSITION JASPER 1-1, CITY OF MARION City of Mario","10","2","2","0","4909","292","Austin Cates","1284","26.16"
"143","Portland Alderman Ward 1 Position 2 City of Portl","24","1","1","0","161","302","IND Jerad Selby","95","59.01"
"143","Portland Alderman Ward 1 Position 2 City of Portl","24","1","1","0","161","303","IND Marilyn Woods-Webb","66","40.99"
"144","ALDERMAN OF HORSESHOE BEND WARD 2 POSITION 1 City","48","1","1","0","256","305","IND Jeanette Hilliker","146","57.03"
"144","ALDERMAN OF HORSESHOE BEND WARD 2 POSITION 1 City","48","1","1","0","256","304","IND Ceil Shorr","110","42.97"
"145","City of Marvell, 1% Local Sales and Use Tax","56","1","1","0","253","307","FOR","144","56.92"
"145","City of Marvell, 1% Local Sales and Use Tax","56","1","1","0","253","306","AGAINST","109","43.08"
"146","Ash Flat Alderman Ward 2 Position 2 City of Ash F","51","1","1","0","332","308","IND Danny Traw","199","59.94"
"146","Ash Flat Alderman Ward 2 Position 2 City of Ash F","51","1","1","0","332","309","IND Ryan Carl Pitts","133","40.06"
"149","City of Greenwood, Alderman Ward 1 Pos. 2","37","32","32","0","3750","314","Rod Powell","2158","57.55"
"149","City of Greenwood, Alderman Ward 1 Pos. 2","37","32","32","0","3750","313","Cameron Kehler","1592","42.45"
"151","Felsenthal Alderman Position 4 Felsenthal","36","1","1","0","48","317","IND Brandi Cates","35","72.92"
"151","Felsenthal Alderman Position 4 Felsenthal","36","1","1","0","48","318","IND Penny Owens","13","27.08"
"153","CITY MAYOR FAYETTEVILLE","46","67","67","0","35478","322","Mayor Lioneld Jordan","16649","46.93"
"153","CITY MAYOR FAYETTEVILLE","46","67","67","0","35478","323","Molly Rawn","13095","36.91"
"153","CITY MAYOR FAYETTEVILLE","46","67","67","0","35478","324","Tom Terminella","4394","12.39"
"153","CITY MAYOR FAYETTEVILLE","46","67","67","0","35478","321","Adam Fire Cat","1340","3.78"
"156","City of Wynne, Alderman Ward 5 Pos. 2","16","1","1","0","750","329","Jason Nichols","633","84.40"
"156","City of Wynne, Alderman Ward 5 Pos. 2","16","1","1","0","750","330","Shirley Simmons","117","15.60"
"158","Augusta Alderman Ward 4, Position 1","54","3","3","0","694","333","IND Otis Gipson","399","57.49"
"158","Augusta Alderman Ward 4, Position 1","54","3","3","0","694","334","IND Perry Galloway","295","42.51"
"159","City of Hardy Alderman Ward 2 Position 1 City of","29","1","1","0","16","337","IND Natalie Quintana-DuBois","8","50.00"
"159","City of Hardy Alderman Ward 2 Position 1 City of","29","1","1","0","16","335","IND Junior Wise","6","37.50"
"159","City of Hardy Alderman Ward 2 Position 1 City of","29","1","1","0","16","336","IND Larry Tyger","2","12.50"
"162","PARK AND RECREATIONAL IMPROVEMENT BONDS City of W","10","7","7","0","6049","344","FOR","3201","52.92"
"162","PARK AND RECREATIONAL IMPROVEMENT BONDS City of W","10","7","7","0","6049","343","AGAINST","2848","47.08"
"165","City of Elaine, Ald. Ward 1 Pos. 2","56","1","1","0","183","349","Alvin 'Rell' Scaife","104","56.83"
"165","City of Elaine, Ald. Ward 1 Pos. 2","56","1","1","0","183","350","Michael Cravens","79","43.17"
"166","City of Alpena, Local Issue No 1","33","1","1","0","98","352","FOR","56","57.14"
"166","City of Alpena, Local Issue No 1","33","1","1","0","98","351","AGAINST","42","42.86"
"169","McCaskill Mayor","15","1","1","0","20","357","Kyle Sweat","20","100.00"
"175","Calion Alderman Ward 2 Position 1 Calion","36","1","1","0","51","368","IND Debra Anne Hale","35","68.63"
"175","Calion Alderman Ward 2 Position 1 Calion","36","1","1","0","51","367","IND Bill McCorvey","16","31.37"
"176","POSITION WARD 1-2, CITY OF WEST MEMPHIS City of W","10","2","2","0","2098","371","Tracy L. Catt","1230","58.63"
"176","POSITION WARD 1-2, CITY OF WEST MEMPHIS City of W","10","2","2","0","2098","369","Dr. Alfreda Robinson","653","31.12"
"176","POSITION WARD 1-2, CITY OF WEST MEMPHIS City of W","10","2","2","0","2098","370","Jessica Burns","215","10.25"
"181","Special Election for City of Cammack Village","1","1","1","0","446","381","FOR","258","57.85"
"181","Special Election for City of Cammack Village","1","1","1","0","446","380","AGAINST","188","42.15"
"185","City of Leachville, Ward 2, Pos. 2","20","1","1","0","553","388","Lisa Baldridge","374","67.63"
"185","City of Leachville, Ward 2, Pos. 2","20","1","1","0","553","387","Barbara Lloyd","179","32.37"
"187","Wilmot Alderman South Ward Position 1 City of Wil","24","1","1","0","150","391","IND Mary Mcadoo","108","72.00"
"187","Wilmot Alderman South Ward Position 1 City of Wil","24","1","1","0","150","392","IND Sandrual Cole","42","28.00"
"191","City of Madison, Recorder/Treasurer","52","1","1","0","206","400","Margarette Lacy Winfrey","116","56.31"
"191","City of Madison, Recorder/Treasurer","52","1","1","0","206","399","Jay Quincy Malone","90","43.69"
"196","City of Texarkana Ward 6","43","3","3","0","2146","411","Steve Smith","1288","60.02"
"196","City of Texarkana Ward 6","43","3","3","0","2146","410","Cori Mobbs","858","39.98"
"197","City of Knoxville City of Knoxville","72","1","1","0","227","413","For","201","88.55"
"197","City of Knoxville City of Knoxville","72","1","1","0","227","412","Against","26","11.45"
"199","Cave City Board of Directors Position 7 City of C","51","10","10","0","2005","415","IND J.D. Smart","1101","54.91"
"199","Cave City Board of Directors Position 7 City of C","51","10","10","0","2005","416","IND Ryan Herndon","904","45.09"
"202","City of Lavaca, Alderman Ward 2 Pos. 2","37","9","9","0","952","422","Charles Darin Jetton","393","41.28"
"202","City of Lavaca, Alderman Ward 2 Pos. 2","37","9","9","0","952","423","Dawn Marie Hutchins","359","37.71"
"202","City of Lavaca, Alderman Ward 2 Pos. 2","37","9","9","0","952","424","Kirk Barber","200","21.01"
"208","POSITION JASPER 3-1, CITY OF MARION City of Mario","10","2","2","0","4896","436","Councilman Bryan Jackson","3104","63.40"
"208","POSITION JASPER 3-1, CITY OF MARION City of Mario","10","2","2","0","4896","435","Austin Smith","1792","36.60"
"209","REFUNDING BONDS BOND ELECTION FOR THE CITY OF MAG","23","4","4","0","2966","438","FOR","2014","67.90"
"209","REFUNDING BONDS BOND ELECTION FOR THE CITY OF MAG","23","4","4","0","2966","437","AGAINST","952","32.10"
"213","City of Oppelo, City Alderman Ward 1 Pos. 2","31","1","1","0","289","445","Jerry W. Jones","154","53.29"
"213","City of Oppelo, City Alderman Ward 1 Pos. 2","31","1","1","0","289","446","Michael Parette","135","46.71"
"214","FIRE IMPROVEMENT BONDS City of West Memphis Measu","10","7","7","0","6090","448","FOR","3902","64.07"
"214","FIRE IMPROVEMENT BONDS City of West Memphis Measu","10","7","7","0","6090","447","AGAINST","2188","35.93"
"219","REFERRED QUESTION TO ANNEX 479 ACRES TO THE CITY","45","17","17","0","8614","458","FOR annexation of the territory desc","6242","72.46"
"219","REFERRED QUESTION TO ANNEX 479 ACRES TO THE CITY","45","17","17","0","8614","457","AGAINST annexation of the territory","2372","27.54"
