Commissioner of State Lands	Candidates				
Summary of General Election Results November 7, 2006	Robert David Lewis Green Party	Mark Wilcox Democrat	Grand Totals	Registered Voters	Voter Turnout
Arkansas County	478	4,806	5,284	11,733	45.04%
Ashley County	520	4,777	5,297	12,666	41.82%
Baxter County	2,797	8,888	11,685	27,610	42.32%
Benton County	12,257	28,683	40,940	95,215	43.00%
Boone County	2,022	6,628	8,650	22,068	39.20%
Bradley County	245	2,362	2,607	6,169	42.26%
Calhoun County	203	1,463	1,666	3,756	44.36%
Carroll County	1,844	5,508	7,352	14,176	51.86%
Chicot County	235	3,121	3,356	7,772	43.18%
Clark County	574	5,483	6,057	12,371	48.96%
Clay County	497	3,509	4,006	10,604	37.78%
Cleburne County	1,549	7,010	8,559	17,155	49.89%
Cleveland County	259	2,110	2,369	5,323	44.50%
Columbia County	923	4,319	5,242	16,752	31.29%
Conway County	793	5,352	6,145	13,375	45.94%
Craighead County	2,940	15,938	18,878	50,621	37.29%
Crawford County	3,139	10,724	13,863	27,384	50.62%
Crittenden County	2,362	12,402	14,764	29,350	50.30%
Cross County	741	4,188	4,929	11,309	43.58%
Dallas County	263	2,387	2,650	5,352	49.51%
Desha County	210	2,836	3,046	9,563	31.85%
Drew County	412	3,500	3,912	10,280	38.05%
Faulkner County	3,278	19,465	22,743	58,925	38.60%
Franklin County	839	4,652	5,491	10,259	53.52%
Fulton County	482	2,556	3,038	7,149	42.50%
Garland County	4,954	21,017	25,971	68,802	37.75%
Grant County	785	4,065	4,850	9,898	49.00%
Greene County	1,288	7,191	8,479	20,480	41.40%
Hempstead County	530	4,145	4,675	10,204	45.82%
Hot Spring County	2,293	5,726	8,019	18,415	43.55%
Howard County	350	2,693	3,043	7,223	42.13%
Independence County	1,281	7,881	9,162	20,518	44.65%
Izard County	632	3,162	3,794	7,296	52.00%
Jackson County	440	3,787	4,227	9,561	44.21%
Jefferson County	1,600	17,281	18,881	48,529	38.91%
Johnson County	1,030	4,544	5,574	13,339	41.79%
Lafayette County	259	2,125	2,384	4,229	56.37%
Lawrence County	637	3,936	4,573	10,070	45.41%
Lee County	252	2,536	2,788	6,114	45.60%
Lincoln County	259	2,439	2,698	6,570	41.07%
Little River County	370	3,131	3,501	7,848	44.61%
Logan County	1,090	4,990	6,080	13,050	46.59%
Lonoke County	2,860	11,954	14,814	31,591	46.89%
Madison County	1,013	3,767	4,780	8,368	57.12%
Marion County	1,243	4,098	5,341	10,377	51.47%
Miller County	1,543	7,288	8,831	23,129	38.18%
Mississippi County	1,181	8,227	9,408	23,020	40.87%
Monroe County	226	2,413	2,639	5,677	46.49%
Montgomery County	451	2,136	2,587	5,126	50.47%
Nevada County	256	2,242	2,498	5,802	43.05%
Newton County	859	2,117	2,976	5,638	52.78%
Ouachita County	892	6,105	6,997	19,935	35.10%
Perry County	542	2,772	3,314	6,405	51.74%
Phillips County	605	5,950	6,555	18,803	34.86%
Pike County	422	2,517	2,939	5,649	52.03%
Poinsett County	790	5,154	5,944	13,231	44.92%
Polk County	1,192	3,813	5,005	11,548	43.34%
Pope County	2,575	11,678	14,253	30,326	47.00%
Prairie County	256	2,456	2,712	4,771	56.84%
Pulaski County	17,502	82,019	99,521	237,039	41.99%
Randolph County	587	3,587	4,174	10,260	40.68%
Saline County	5,727	23,215	28,942	57,430	50.40%
Scott County	443	2,196	2,639	6,056	43.58%
Searcy County	611	1,824	2,435	6,403	38.03%
Sebastian County	6,691	22,067	28,758	61,685	46.62%
Sevier County	414	2,437	2,851	6,498	43.88%
Sharp County	964	4,040	5,004	10,436	47.95%
St. Francis County	849	5,700	6,549	18,959	34.54%
Stone County	893	3,166	4,059	7,741	52.44%
Union County	1,840	8,556	10,396	29,624	35.09%
Van Buren County	885	4,012	4,897	9,981	49.06%
Washington County	9,732	29,743	39,475	87,215	45.26%
White County	3,468	15,044	18,512	43,136	42.92%
Woodruff County	169	2,194	2,363	4,746	49.79%
Yell County	542	3,635	4,177	9,583	43.59%
Totals	126,135	571,438	697,573	1,615,271	43.19%
Statewide Percentage of Votes Received	18.08%	81.92%			
